 zip_pick | zip_drop | distance_meters | distance_miles 
----------+----------+-----------------+----------------
 98041    | 98331    |         4982833 |      3114.2703
 98021    | 98331    |         4982833 |      3114.2703
 98011    | 98331    |         4982833 |      3114.2703
 98021    | 98357    |         4980858 |       3113.036
 98041    | 98357    |         4980858 |       3113.036
 98011    | 98357    |         4980858 |       3113.036
 98001    | 98331    |         4976903 |      3110.5645
 98093    | 98331    |         4976903 |      3110.5645
 98063    | 98331    |         4976903 |      3110.5645
 98023    | 98331    |         4976903 |      3110.5645
 98003    | 98331    |         4976903 |      3110.5645
 98063    | 98357    |         4974927 |      3109.3293
 98001    | 98357    |         4974927 |      3109.3293
 98003    | 98357    |         4974927 |      3109.3293
 98023    | 98357    |         4974927 |      3109.3293
 98093    | 98357    |         4974927 |      3109.3293
 98041    | 98350    |         4969310 |      3105.8188
 98021    | 98350    |         4969310 |      3105.8188
 98011    | 98350    |         4969310 |      3105.8188
 98083    | 98331    |         4965606 |      3103.5037
 98034    | 98331    |         4965606 |      3103.5037
 98033    | 98331    |         4965606 |      3103.5037
 98083    | 98357    |         4963631 |      3102.2693
 98034    | 98357    |         4963631 |      3102.2693
 98033    | 98357    |         4963631 |      3102.2693
 98093    | 98350    |         4963381 |      3102.1128
 98003    | 98350    |         4963381 |      3102.1128
 98001    | 98350    |         4963381 |      3102.1128
 98023    | 98350    |         4963381 |      3102.1128
 98063    | 98350    |         4963381 |      3102.1128
 98041    | 98326    |         4959431 |      3099.6443
 98011    | 98326    |         4959431 |      3099.6443
 98021    | 98326    |         4959431 |      3099.6443
 98041    | 98381    |         4959220 |      3099.5125
 98011    | 98381    |         4959220 |      3099.5125
 98021    | 98381    |         4959220 |      3099.5125
 98001    | 98326    |         4953502 |      3095.9385
 98093    | 98326    |         4953502 |      3095.9385
 98063    | 98326    |         4953502 |      3095.9385
 98003    | 98326    |         4953502 |      3095.9385
 98023    | 98326    |         4953502 |      3095.9385
 98063    | 98381    |         4953290 |      3095.8062
 98093    | 98381    |         4953290 |      3095.8062
 98001    | 98381    |         4953290 |      3095.8062
 98003    | 98381    |         4953290 |      3095.8062
 98023    | 98381    |         4953290 |      3095.8062
 98034    | 98350    |         4952084 |      3095.0525
 98033    | 98350    |         4952084 |      3095.0525
 98083    | 98350    |         4952084 |      3095.0525
 98034    | 98326    |         4942205 |      3088.8782
 98033    | 98326    |         4942205 |      3088.8782
 98083    | 98326    |         4942205 |      3088.8782
 98083    | 98381    |         4941994 |      3088.7458
 98034    | 98381    |         4941994 |      3088.7458
 98033    | 98381    |         4941994 |      3088.7458
 98021    | 98363    |         4908887 |      3068.0544
 98041    | 98362    |         4908887 |      3068.0544
 98011    | 98362    |         4908887 |      3068.0544
 98011    | 98363    |         4908887 |      3068.0544
 98041    | 98363    |         4908887 |      3068.0544
 98021    | 98362    |         4908887 |      3068.0544
 98001    | 98362    |         4902957 |      3064.3481
 98001    | 98363    |         4902957 |      3064.3481
 98003    | 98362    |         4902957 |      3064.3481
 98023    | 98362    |         4902957 |      3064.3481
 98063    | 98362    |         4902957 |      3064.3481
 98093    | 98363    |         4902957 |      3064.3481
 98063    | 98363    |         4902957 |      3064.3481
 98023    | 98363    |         4902957 |      3064.3481
 98093    | 98362    |         4902957 |      3064.3481
 98003    | 98363    |         4902957 |      3064.3481
 98034    | 98362    |         4891661 |      3057.2878
 98083    | 98362    |         4891661 |      3057.2878
 98083    | 98363    |         4891661 |      3057.2878
 98034    | 98363    |         4891661 |      3057.2878
 98033    | 98362    |         4891661 |      3057.2878
 98033    | 98363    |         4891661 |      3057.2878
 98011    | 98343    |         4884365 |       3052.728
 98041    | 98343    |         4884365 |       3052.728
 98021    | 98343    |         4884365 |       3052.728
 98011    | 98548    |         4881465 |      3050.9153
 98041    | 98548    |         4881465 |      3050.9153
 98021    | 98548    |         4881465 |      3050.9153
 98023    | 98343    |         4878435 |       3049.022
 98063    | 98343    |         4878435 |       3049.022
 98001    | 98343    |         4878435 |       3049.022
 98003    | 98343    |         4878435 |       3049.022
 98093    | 98343    |         4878435 |       3049.022
 98003    | 98548    |         4875534 |      3047.2087
 98093    | 98548    |         4875534 |      3047.2087
 98063    | 98548    |         4875534 |      3047.2087
 98023    | 98548    |         4875534 |      3047.2087
 98001    | 98548    |         4875534 |      3047.2087
 98083    | 98343    |         4867139 |      3041.9617
 98033    | 98343    |         4867139 |      3041.9617
 98034    | 98343    |         4867139 |      3041.9617
 98063    | 98236    |         4864404 |      3040.2522
 98003    | 98236    |         4864404 |      3040.2522
 98023    | 98236    |         4864404 |      3040.2522
 98001    | 98236    |         4864404 |      3040.2522
 98093    | 98236    |         4864404 |      3040.2522
 98034    | 98548    |         4864238 |      3040.1487
 98033    | 98548    |         4864238 |      3040.1487
 98083    | 98548    |         4864238 |      3040.1487
 98041    | 98260    |         4863759 |      3039.8494
 98021    | 98260    |         4863759 |      3039.8494
 98011    | 98260    |         4863759 |      3039.8494
 98093    | 98260    |         4857829 |      3036.1428
 98003    | 98260    |         4857829 |      3036.1428
 98001    | 98260    |         4857829 |      3036.1428
 98063    | 98260    |         4857829 |      3036.1428
 98023    | 98260    |         4857829 |      3036.1428
 98033    | 98236    |         4853107 |       3033.192
 98034    | 98236    |         4853107 |       3033.192
 98083    | 98236    |         4853107 |       3033.192
 98011    | 98249    |         4852084 |      3032.5522
 98021    | 98249    |         4852084 |      3032.5522
 98041    | 98249    |         4852084 |      3032.5522
 98083    | 98260    |         4846532 |      3029.0825
 98033    | 98260    |         4846532 |      3029.0825
 98034    | 98260    |         4846532 |      3029.0825
 98063    | 98249    |         4846154 |       3028.846
 98023    | 98249    |         4846154 |       3028.846
 98003    | 98249    |         4846154 |       3028.846
 98093    | 98249    |         4846154 |       3028.846
 98001    | 98249    |         4846154 |       3028.846
 98041    | 98253    |         4843841 |      3027.4006
 98011    | 98253    |         4843841 |      3027.4006
 98021    | 98253    |         4843841 |      3027.4006
 98041    | 98324    |         4840047 |       3025.029
 98011    | 98324    |         4840047 |       3025.029
 98021    | 98324    |         4840047 |       3025.029
 98093    | 98253    |         4837911 |      3023.6943
 98003    | 98253    |         4837911 |      3023.6943
 98001    | 98253    |         4837911 |      3023.6943
 98063    | 98253    |         4837911 |      3023.6943
 98023    | 98253    |         4837911 |      3023.6943
 98041    | 98382    |         4837553 |      3023.4702
 98021    | 98382    |         4837553 |      3023.4702
 98011    | 98382    |         4837553 |      3023.4702
 98034    | 98249    |         4834857 |      3021.7856
 98033    | 98249    |         4834857 |      3021.7856
 98083    | 98249    |         4834857 |      3021.7856
 98093    | 98324    |         4834116 |      3021.3225
 98063    | 98324    |         4834116 |      3021.3225
 98023    | 98324    |         4834116 |      3021.3225
 98001    | 98324    |         4834116 |      3021.3225
 98003    | 98324    |         4834116 |      3021.3225
 98041    | 98320    |         4832055 |      3020.0344
 98021    | 98320    |         4832055 |      3020.0344
 98011    | 98320    |         4832055 |      3020.0344
 98093    | 98382    |         4831623 |      3019.7642
 98003    | 98382    |         4831623 |      3019.7642
 98063    | 98382    |         4831623 |      3019.7642
 98001    | 98382    |         4831623 |      3019.7642
 98023    | 98382    |         4831623 |      3019.7642
 98011    | 98239    |         4827981 |       3017.488
 98021    | 98239    |         4827981 |       3017.488
 98041    | 98239    |         4827981 |       3017.488
 98034    | 98253    |         4826615 |       3016.634
 98083    | 98253    |         4826615 |       3016.634
 98033    | 98253    |         4826615 |       3016.634
 98001    | 98320    |         4826125 |      3016.3281
 98063    | 98320    |         4826125 |      3016.3281
 98093    | 98320    |         4826125 |      3016.3281
 98003    | 98320    |         4826125 |      3016.3281
 98023    | 98320    |         4826125 |      3016.3281
 98033    | 98324    |         4822820 |      3014.2625
 98083    | 98324    |         4822820 |      3014.2625
 98034    | 98324    |         4822820 |      3014.2625
 98063    | 98239    |         4822051 |       3013.782
 98023    | 98239    |         4822051 |       3013.782
 98001    | 98239    |         4822051 |       3013.782
 98003    | 98239    |         4822051 |       3013.782
 98093    | 98239    |         4822051 |       3013.782
 98083    | 98382    |         4820326 |      3012.7039
 98034    | 98382    |         4820326 |      3012.7039
 98033    | 98382    |         4820326 |      3012.7039
 98034    | 98320    |         4814829 |      3009.2678
 98083    | 98320    |         4814829 |      3009.2678
