 zip_pick | zip_drop | distance_meters | distance_miles 
----------+----------+-----------------+----------------
 98061    | 98388    |         1678579 |      1049.1117
 98110    | 98388    |         1680984 |      1050.6151
 98236    | 98388    |         1764631 |      1102.8942
 98239    | 98388    |         1722278 |       1076.424
 98249    | 98388    |         1746381 |       1091.488
 98253    | 98388    |         1738138 |      1086.3364
 98260    | 98388    |         1758056 |       1098.785
 98277    | 98388    |         1699704 |      1062.3152
 98278    | 98388    |         1699704 |      1062.3152
 98287    | 98388    |         1628226 |     1017.64136
 98310    | 98388    |         1640645 |      1025.4028
 98311    | 98388    |         1654661 |      1034.1631
 98312    | 98388    |         1639238 |      1024.5239
 98314    | 98388    |         1639184 |      1024.4899
 98315    | 98388    |         1656091 |      1035.0565
 98320    | 98388    |         1715245 |      1072.0278
 98322    | 98388    |         1613335 |      1008.3343
 98324    | 98388    |         1734344 |      1083.9647
 98325    | 98388    |         1700461 |       1062.788
 98326    | 98388    |         1853729 |      1158.5804
 98329    | 98388    |         1610814 |       1006.759
 98331    | 98388    |         1816162 |      1135.1014
 98332    | 98388    |         1610814 |       1006.759
 98335    | 98388    |         1610814 |       1006.759
 98337    | 98388    |         1639238 |      1024.5239
 98339    | 98388    |         1699004 |      1061.8777
 98340    | 98388    |         1685549 |      1053.4684
 98342    | 98388    |         1675008 |      1046.8799
 98343    | 98388    |         1778663 |      1111.6642
 98345    | 98388    |         1658166 |      1036.3539
 98346    | 98388    |         1676783 |      1047.9893
 98349    | 98388    |         1630292 |     1018.93274
 98350    | 98388    |         1857874 |       1161.171
 98351    | 98388    |         1640278 |      1025.1735
 98353    | 98388    |         1651252 |      1032.0322
 98357    | 98388    |         1875155 |      1171.9717
 98358    | 98388    |         1704521 |      1065.3257
 98359    | 98388    |         1618632 |      1011.6451
 98362    | 98388    |         1803185 |      1126.9905
 98363    | 98388    |         1803185 |      1126.9905
 98364    | 98388    |         1672428 |      1045.2676
 98365    | 98388    |         1680053 |      1050.0331
 98366    | 98388    |         1624053 |     1015.03326
 98367    | 98388    |         1624053 |     1015.03326
 98368    | 98388    |         1706654 |      1066.6586
 98370    | 98388    |         1662512 |      1039.0697
 98376    | 98388    |         1697705 |      1061.0654
 98380    | 98388    |         1662524 |      1039.0775
 98381    | 98388    |         1853518 |      1158.4485
 98382    | 98388    |         1731850 |      1082.4062
 98383    | 98388    |         1656091 |      1035.0565
 98384    | 98388    |         1631627 |       1019.767
 98386    | 98388    |         1632491 |      1020.3071
